scenario,mode,family_esl,weather,phase,check,expected,result,notes
A,school,,Rainy,grounding,freshness_meta_present,"target/effective/risk/coverage all present",,
A,school,,Rainy,grounding,degrade_continue,"1y不足时降级到3y/5y并继续",,
A,school,,Rainy,phase1,roadmap_fields,"backgroundInfo/teachingTips/activityInstructions/steps均非空",,
A,school,,Rainy,phase1,rainy_enforcement,"每阶段可执行室内替代",,
A,school,,Rainy,phase2,page_strict,"最终页数=配置页数",,
A,school,,Rainy,phase2,school_quality,"学生任务单+教师直读稿",,
A,school,,Rainy,regen,comment_logic,"结构不变，按comment调整内容",,
B,family,true,Sunny,phase1,family_lens,"家长可直读执行",,
B,family,true,Sunny,phase1,light_esl,"每阶段轻量英语(2-3词)不过度",,
B,family,true,Sunny,phase2,family_quality,"儿童页=故事/事实+任务",,
B,family,true,Sunny,phase2,page_strict,"最终页数=配置页数",,
C,family,false,Rainy,phase1,pure_exploration,"不强制ESL教学动作",,
C,family,false,Rainy,phase1,rainy_enforcement,"雨天室内可执行",,
C,family,false,Rainy,phase2,family_quality,"家长引导+儿童任务链完整",,
C,family,false,Rainy,regen,comment_logic,"初次逻辑不变+comment重生成",,
BATCH,mixed,,mixed,batch,shared_fact_sheet,"批内仅一次课程级共享fact sheet",,
BATCH,mixed,,mixed,batch,quota_protection,"单并发/去重/无硬中断",,
